dataset,source,seeds,eval_pos,degree_auc,ci95
LFR,synthetic,4,5000,0.6750756199999999,0.013153472822254179
SBM,synthetic,4,5000,0.61813811,0.0039008303693570806
BA,synthetic,4,4975,0.7658485189767934,0.006303652568932987
WS,synthetic,4,5000,0.540314985,0.0048859257495992734
email-Eu-core,real,3,10000,0.874554395,0.0022817248465033194
ego-Facebook,real,3,10000,0.8384441933333333,0.0012968320778706708
ca-GrQc,real,3,10000,0.8244404116666667,0.001451164049948452
com-DBLP,real,3,5000,0.83720436,0.004016837432554236
ogbl-collab,real,3,5000,0.8422151933333333,0.0030754899076537935
