dataset,seed,eps,mechanism,provenance,m_orig,m_released,auc_heur,auc_logreg,auc_degaware,auc_svd,auc_seed,auc_max,deg_dist_norm,clust_err,spec_err,comm_nmi_gt
email-Eu-core,0,0.5,PrivGraph,official-core-sparse-reimplementation,16064,16210,0.6451954999999999,0.709956,0.891008,0.6933600000000001,0.793306,0.891008,0.5169945219123504,0.3307929339363269,0.4868805546288283,0.1954442362680926
email-Eu-core,0,0.5,DPGVAE,paper-derived-compatible-reimplementation,16064,16064,0.5848055000000001,0.627946,0.8597239999999999,0.5734159999999999,0.762803,0.8597239999999999,0.5001245019920316,0.3005544844961072,0.506326241129956,0.0766758045504008
email-Eu-core,0,0.5,DPGGAN,paper-derived-compatible-reimplementation,16064,16064,0.8406385000000001,0.863276,0.873704,0.8112879999999999,0.868187,0.873704,0.2688620517928286,0.1736361906835214,0.1236389733495824,0.3213965020090309
email-Eu-core,0,0.5,GraphPub,paper-derived-compatible-reimplementation-no-public-code-found,16064,16013,0.862192,0.890936,0.898404,0.8639279999999998,0.9020255,0.9020255,0.0163097609561753,0.2513197496956086,0.0296141289130689,0.1265988150485542
email-Eu-core,0,0.5,PrivDPR,paper-derived-compatible-reimplementation,16064,16064,0.7967804999999999,0.8290320000000002,0.8565720000000001,0.7700920000000001,0.8274595,0.8565720000000001,0.4852465139442231,0.1547946884006039,0.4705146641139261,0.4378836827444568
email-Eu-core,0,1.0,PrivGraph,official-core-sparse-reimplementation,16064,16136,0.6787280000000001,0.742972,0.8913760000000001,0.7248600000000001,0.8212,0.8913760000000001,0.5478087649402388,0.3381978198512174,0.5157904419240975,0.2139429852291299
email-Eu-core,0,1.0,DPGVAE,paper-derived-compatible-reimplementation,16064,16064,0.676389,0.707376,0.8833880000000001,0.691484,0.8081475,0.8833880000000001,0.4213147410358565,0.2901474630485514,0.4594124837942257,0.0786778010627845
email-Eu-core,0,1.0,DPGGAN,paper-derived-compatible-reimplementation,16064,16064,0.825357,0.8287519999999999,0.8767759999999999,0.78708,0.8613034999999999,0.8767759999999999,0.4269173306772909,0.1699082654690422,0.3431007459607558,0.4180139148373224
email-Eu-core,0,1.0,GraphPub,paper-derived-compatible-reimplementation-no-public-code-found,16064,16074,0.8438475,0.87654,0.871968,0.833624,0.8835770000000001,0.8835770000000001,0.0216010956175298,0.2560947273943323,0.0167419744259982,0.1090782856548169
email-Eu-core,0,1.0,PrivDPR,paper-derived-compatible-reimplementation,16064,16064,0.7935025000000001,0.8080539999999999,0.849418,0.7466360000000002,0.8272699999999998,0.849418,0.4935258964143426,0.1526046047253047,0.4731566187002742,0.4337122005962233
email-Eu-core,0,2.0,PrivGraph,official-core-sparse-reimplementation,16064,16083,0.6766995000000001,0.752022,0.879292,0.7247,0.8039769999999999,0.879292,0.5194223107569719,0.3372532421097856,0.4984664144747357,0.2084947990690416
email-Eu-core,0,2.0,DPGVAE,paper-derived-compatible-reimplementation,16064,16064,0.8501434999999999,0.8822320000000001,0.910646,0.847842,0.8832155,0.910646,0.2007594621513943,0.2317785834508484,0.3159853554303889,0.1938664127467108
email-Eu-core,0,2.0,DPGGAN,paper-derived-compatible-reimplementation,16064,16064,0.806925,0.8301499999999999,0.8802679999999999,0.7981619999999998,0.8453429999999998,0.8802679999999999,0.44914093625498,0.1930875612740864,0.3727368866406387,0.4274820972857968
email-Eu-core,0,2.0,GraphPub,paper-derived-compatible-reimplementation-no-public-code-found,16064,16086,0.8462850000000002,0.867424,0.8747900000000001,0.8346340000000001,0.884804,0.884804,0.018550796812749,0.2502174975229245,0.01962120170998,0.1156471050709225
email-Eu-core,0,2.0,PrivDPR,paper-derived-compatible-reimplementation,16064,16064,0.8169699999999999,0.827362,0.863916,0.7748560000000001,0.848604,0.863916,0.4896040836653386,0.1581959471902461,0.4762060518572161,0.437808458310315
email-Eu-core,1,0.5,PrivGraph,official-core-sparse-reimplementation,16064,15989,0.6105274999999999,0.690614,0.883016,0.674736,0.793164,0.883016,0.5428909362549799,0.3342566370065929,0.5149287383496238,0.1859326962161077
email-Eu-core,1,0.5,DPGVAE,paper-derived-compatible-reimplementation,16064,16064,0.5548715000000001,0.573388,0.873672,0.554172,0.7397940000000001,0.873672,0.5033615537848604,0.298929459097959,0.5069986484034575,0.0701683055143357
email-Eu-core,1,0.5,DPGGAN,paper-derived-compatible-reimplementation,16064,16064,0.8358344999999999,0.8454740000000001,0.87914,0.8284720000000001,0.868762,0.87914,0.27527390438247,0.1682825601703777,0.1324016673913952,0.3248908032861029
email-Eu-core,1,0.5,GraphPub,paper-derived-compatible-reimplementation-no-public-code-found,16064,16099,0.8449609999999999,0.87726,0.873492,0.847518,0.8858995,0.8858995,0.0186752988047808,0.2501811504099803,0.0200033580262863,0.1229727007192094
email-Eu-core,1,0.5,PrivDPR,paper-derived-compatible-reimplementation,16064,16064,0.8229710000000001,0.82082,0.880652,0.77946,0.852499,0.880652,0.48835906374502,0.1394164808318445,0.4759570120264058,0.435516324757018
email-Eu-core,1,1.0,PrivGraph,official-core-sparse-reimplementation,16064,16135,0.693938,0.736418,0.8778999999999999,0.7321599999999999,0.8316965000000001,0.8778999999999999,0.5301917330677288,0.3376707094986027,0.4983637642167212,0.1883095437874083
email-Eu-core,1,1.0,DPGVAE,paper-derived-compatible-reimplementation,16064,16064,0.651767,0.679206,0.8454320000000001,0.6672560000000001,0.7714475000000001,0.8454320000000001,0.4297186254980079,0.2884661222236548,0.4588264724481473,0.0758681897812606
email-Eu-core,1,1.0,DPGGAN,paper-derived-compatible-reimplementation,16064,16064,0.8290429999999999,0.8414179999999999,0.8739459999999999,0.8033779999999999,0.8568819999999999,0.8739459999999999,0.4265438247011951,0.1776489773861448,0.3424758921195631,0.412767432261606
email-Eu-core,1,1.0,GraphPub,paper-derived-compatible-reimplementation-no-public-code-found,16064,16052,0.8375145,0.867042,0.862004,0.83552,0.8839245,0.8839245,0.0186752988047808,0.2473847323598721,0.0244583933420488,0.1198604947374832
email-Eu-core,1,1.0,PrivDPR,paper-derived-compatible-reimplementation,16064,16064,0.8113219999999999,0.8178280000000001,0.87268,0.781752,0.8496555,0.87268,0.4867405378486057,0.1544434470038808,0.4713857290979823,0.435518160528454
email-Eu-core,1,2.0,PrivGraph,official-core-sparse-reimplementation,16064,16087,0.6511005000000001,0.725776,0.8895320000000001,0.7299439999999999,0.813859,0.8895320000000001,0.5288844621513942,0.3412447897825225,0.5107782380371347,0.2069143920769141
email-Eu-core,1,2.0,DPGVAE,paper-derived-compatible-reimplementation,16064,16064,0.8448605,0.863908,0.900948,0.846288,0.8701355,0.900948,0.1894920318725098,0.2264043716027293,0.3014047510561688,0.2118024711457682
email-Eu-core,1,2.0,DPGGAN,paper-derived-compatible-reimplementation,16064,16064,0.8092045,0.8152560000000001,0.877892,0.7838939999999999,0.8511809999999999,0.877892,0.4483939243027889,0.2005212836946042,0.3771084558291573,0.4365097772770011
email-Eu-core,1,2.0,GraphPub,paper-derived-compatible-reimplementation-no-public-code-found,16064,16088,0.8417515000000001,0.857394,0.877332,0.8572519999999999,0.8821355,0.8821355,0.0177415338645418,0.2502842324409773,0.0185692203351762,0.1229480059663356
email-Eu-core,1,2.0,PrivDPR,paper-derived-compatible-reimplementation,16064,16064,0.809515,0.82031,0.880566,0.7685900000000001,0.8404845000000001,0.880566,0.4859312749003985,0.1716884531415968,0.4662694835025363,0.4372747007138995
email-Eu-core,2,0.5,PrivGraph,official-core-sparse-reimplementation,16064,16419,0.6367280000000001,0.6843759999999999,0.88276,0.694328,0.771408,0.88276,0.5319970119521911,0.3287241284604217,0.5036351466147093,0.2075777718406026
email-Eu-core,2,0.5,DPGVAE,paper-derived-compatible-reimplementation,16064,16064,0.5518514999999999,0.5514060000000001,0.878864,0.538468,0.75098,0.878864,0.4982569721115536,0.2992741943062289,0.5040795826693397,0.0618460485937671
email-Eu-core,2,0.5,DPGGAN,paper-derived-compatible-reimplementation,16064,16064,0.8202224999999999,0.8783320000000001,0.8677400000000002,0.8076539999999999,0.8632024999999999,0.8783320000000001,0.2744646414342628,0.1745656839518554,0.1383200228820876,0.3298062527023188
