block,graph,B,tau,lin_auc,lin_fid,opt_auc,opt_fid,floor
converse_optimal,BA-3000,0.08528835502168837,0.85,0.7467509111111111,0.9558892225558893,0.7233575,0.9109553998442887,0.6442053572090609
converse_optimal,BA-3000,0.17057671004337674,0.7,0.6883549888888888,0.8119452786119451,0.6786879333333333,0.8254921588254922,0.6015611796982168
converse_optimal,BA-3000,0.25586506506506507,0.55,0.665418788888889,0.7748415081748414,0.6330153000000001,0.7685685685685686,0.5589170021873726
converse_optimal,BA-3000,0.34115342008675337,0.4,0.6129283888888889,0.6414859303748193,0.6237952222222222,0.747681014347681,0.5162728246765285
converse_optimal,BA-3000,0.42644177510844183,0.25,0.5795453111111111,0.5959515070626182,0.5950484111111111,0.7166944722500277,0.5
converse_optimal,email-Eu-core,0.12170131042992212,0.85,0.8094217111111112,0.8319596613545818,0.7876302222222222,0.8321713147410359,0.715495700655091
converse_optimal,email-Eu-core,0.24340262085984424,0.7,0.7576392555555556,0.7267679282868527,0.7078318222222222,0.7271165338645418,0.65464504544013
converse_optimal,email-Eu-core,0.3651039312897662,0.55,0.7019208777777778,0.6176294820717131,0.6379341000000001,0.6223232071713147,0.593794390225169
converse_optimal,email-Eu-core,0.48680524171968836,0.4,0.6494126333333333,0.504444721115538,0.5672131666666667,0.5199701195219124,0.532943735010208
converse_optimal,email-Eu-core,0.6085065521496106,0.25,0.5952224555555555,0.390488047808765,0.5097033888888889,0.48161105577689234,0.5
converse_optimal,ca-GrQc,0.12664592149255252,0.85,0.803662888888889,0.8551367025683513,0.7958002333333334,0.8728113780723558,0.7140359131169327
converse_optimal,ca-GrQc,0.25329184298510504,0.7,0.7785479111111111,0.767605633802817,0.7252890555555556,0.7701049433858052,0.6507129523706565
converse_optimal,ca-GrQc,0.3799377644776575,0.55,0.7090338111111112,0.6058547362607014,0.6917617444444444,0.7164043082021542,0.5873899916243803
converse_optimal,ca-GrQc,0.5065836859702101,0.4,0.6545029333333334,0.48029549848108266,0.6491210111111112,0.634313725490196,0.5240670308781039
converse_optimal,ca-GrQc,0.6332296074627627,0.25,0.6048791222222223,0.3751173708920188,0.6026804777777779,0.5578569455951394,0.5

boostA,r,delta,V,lognormal,cantelli_floor,measured
boostA,-0.1850477223391534,1.1494189413776636,1.663996641373195,0.8135488553494988,0.44257716904960304,0.820956375
boostA,-0.14882319971251967,1.1494189413776636,1.8255668722112879,0.8025336447910708,0.41985285595141353,0.81356715625
boostA,-0.048667844067100084,1.1494189413776636,2.207283517425348,0.780433609947071,0.37443207888704044,0.79075828125
boostA,0.1768606067309348,1.1494189413776636,3.219231347092831,0.7391160437087767,0.29097993238134673,0.72199496875
boostA,0.26289017041443746,1.1494189413776636,3.5272919816394657,0.729734021719567,0.2724916827723397,0.69906125

boostB,graph,G_s,p100_pred_lorenz,p100_measured
boostB,BA-3000,0.5329791792164151,0.11932530781919198,0.08
boostB,email-Eu-core,0.7280655587383359,1.0,0.8
boostB,ca-GrQc,0.7205404751121173,0.06782202654915366,0.16
