dataset,seed,eps,multiplier,swaps,k0,retained,m_orig,m_released,auc_heur,auc_logreg,auc_degaware,auc_svd,auc_seed,auc_max,deg_dist_norm,clust_err,spec_err,comm_nmi_gt
email-Eu-core,0,1.0,0.0,0,2516.1178741463655,1.0,16064,16064,1.0,1.0,1.0,0.97576,1.0,1.0,0.0,0.0,3.726647363566402e-16,0.5694540375051778
email-Eu-core,0,1.0,0.25,629,2516.1178741463655,0.9251743027888446,16064,16064,0.994805,0.995306,0.997078,0.9664,0.994968,0.997078,0.0,0.0594802041549469,0.010021182214374,0.5363800354166326
email-Eu-core,0,1.0,0.5,1258,2516.1178741463655,0.8563247011952191,16064,16064,0.9902585,0.990334,0.992852,0.963544,0.99046,0.992852,0.0,0.1101536141212994,0.0174248801335075,0.5522318388073304
email-Eu-core,0,1.0,1.0,2516,2516.1178741463655,0.7379233067729084,16064,16064,0.9675425,0.970998,0.971548,0.95206,0.968692,0.971548,0.0,0.1716028050995314,0.0299081195012564,0.5410879155462549
email-Eu-core,0,1.0,2.0,5032,2516.1178741463655,0.5573954183266933,16064,16064,0.9388475,0.941916,0.939,0.906388,0.943538,0.943538,0.0,0.2221388989060873,0.042189646650891,0.4420416580890456
email-Eu-core,0,1.0,4.0,10064,2516.1178741463655,0.3498505976095618,16064,16064,0.8841039999999999,0.8945759999999999,0.901986,0.8553440000000001,0.8998925,0.901986,0.0,0.2419145167632496,0.0605850888190917,0.0959738446711177
email-Eu-core,0,1.0,8.0,20129,2516.1178741463655,0.2077938247011952,16064,16064,0.8519355,0.8643239999999999,0.8591580000000001,0.843092,0.8807639999999999,0.8807639999999999,0.0,0.2387506338890629,0.0685399998546528,0.0747783759304431
email-Eu-core,0,1.0,16.0,40258,2516.1178741463655,0.164965139442231,16064,16064,0.8662089999999999,0.8872659999999999,0.901076,0.902188,0.9034155,0.9034155,0.0,0.2414407279429259,0.0680035067870657,0.0972687754499842
email-Eu-core,1,1.0,0.0,0,2516.1178741463655,1.0,16064,16064,1.0,1.0,1.0,0.983888,1.0,1.0,0.0,0.0,1.8633236817832015e-16,0.5694540375051778
email-Eu-core,1,1.0,0.25,629,2516.1178741463655,0.925734561752988,16064,16064,0.993809,0.992806,0.99436,0.965512,0.993872,0.99436,0.0,0.0623752494399023,0.0078818402105929,0.5771960970970824
