dataset,seed,eps,mechanism,sampler,eval_pos,mean_log_degree_product_gap,m_orig,m_released,auc_heur,auc_logreg,auc_degaware,auc_svd,auc_seed,auc_release_max,auc_aux_max,auc_max
email-Eu-core,0,0.5,tmf,degree_matched,1000,0.0556830876467108,16064,16124,0.5444105,0.527648,0.547108,0.498148,0.6159089999999999,0.5444105,0.6159089999999999,0.6159089999999999
email-Eu-core,0,0.5,dk1dp,degree_matched,1000,0.0556830876467108,16064,14856,0.5131425,0.502048,0.50438,0.517542,0.553676,0.517542,0.553676,0.553676
email-Eu-core,0,0.5,dk2dp,degree_matched,1000,0.0556830876467108,16064,16037,0.5026225,0.500048,0.51266,0.494144,0.5560784999999999,0.5026225,0.5560784999999999,0.5560784999999999
email-Eu-core,0,0.5,swap,degree_matched,1000,0.0556830876467108,16064,16064,0.8174700000000001,0.886382,0.8871679999999998,0.849872,0.794951,0.886382,0.8871679999999998,0.8871679999999998
email-Eu-core,0,0.5,edgeflip,degree_matched,1000,0.0556830876467108,16064,194339,0.71259,0.72162,0.7393,0.591388,0.692152,0.72162,0.7393,0.7393
email-Eu-core,0,1.0,tmf,degree_matched,1000,0.0556830876467108,16064,16060,0.555643,0.5600999999999999,0.5447879999999999,0.556492,0.6096315000000001,0.5600999999999999,0.6096315000000001,0.6096315000000001
email-Eu-core,0,1.0,dk1dp,degree_matched,1000,0.0556830876467108,16064,14937,0.513887,0.539206,0.523424,0.502372,0.561432,0.539206,0.561432,0.561432
email-Eu-core,0,1.0,dk2dp,degree_matched,1000,0.0556830876467108,16064,16046,0.500545,0.521166,0.5226,0.509486,0.5598245,0.521166,0.5598245,0.5598245
email-Eu-core,0,1.0,swap,degree_matched,1000,0.0556830876467108,16064,16064,0.877436,0.929564,0.942204,0.881264,0.865607,0.929564,0.942204,0.942204
email-Eu-core,0,1.0,edgeflip,degree_matched,1000,0.0556830876467108,16064,143352,0.7925789999999999,0.801496,0.8008239999999999,0.702432,0.7439629999999999,0.801496,0.8008239999999999,0.801496
email-Eu-core,0,2.0,tmf,degree_matched,1000,0.0556830876467108,16064,16170,0.636751,0.6541440000000001,0.64564,0.670608,0.6349555,0.670608,0.64564,0.670608
email-Eu-core,0,2.0,dk1dp,degree_matched,1000,0.0556830876467108,16064,14861,0.50757,0.5164439999999999,0.505238,0.5156339999999999,0.5489515,0.5164439999999999,0.5489515,0.5489515
email-Eu-core,0,2.0,dk2dp,degree_matched,1000,0.0556830876467108,16064,16056,0.5061575,0.501972,0.469156,0.497624,0.5493755,0.5061575,0.5493755,0.5493755
email-Eu-core,0,2.0,swap,degree_matched,1000,0.0556830876467108,16064,16064,0.958476,0.96979,0.976228,0.924536,0.9559530000000002,0.96979,0.976228,0.976228
email-Eu-core,0,2.0,edgeflip,degree_matched,1000,0.0556830876467108,16064,72660,0.904085,0.9285,0.9160959999999998,0.8536800000000001,0.8900649999999999,0.9285,0.9160959999999998,0.9285
