tau,attacker_auc,auc_ci95,certified_ceiling,ceil_ci95
1.0,0.75511515625,0.010752921851604471,0.8255156741471087,0.00956855045427821
0.75,0.7014514583333332,0.02853367063242748,0.74387941692684,0.0032673023975316223
0.5,0.64625303125,0.015022017559798278,0.674170078004613,0.004526086657916583
0.25,0.5698997916666667,0.008554593357970318,0.5882981729306738,0.0016368616135591988
0.1,0.5304725625,0.0018856916110198808,0.5334310517222932,0.011915476363019852
0.0,0.5016803437499999,0.022657171702458984,0.5,0.0
