tau,attacker_auc,certified_ceiling
1.0,0.75476125,0.8258888189428966
0.75,0.7018811770833334,0.7447015383969514
0.5,0.6415413125,0.6731840917978702
0.25,0.5725486041666666,0.5884858959488276
0.1,0.5256780729166667,0.533417044396327
0.0,0.49789854166666664,0.5
