dataset,seed,eps_d,tau,m_orig,m_released,auc_heur,auc_logreg,auc_degaware,auc_svd,auc_seed,auc_learned_embed,auc_max,auc_release_max,auc_aux_max,certificate,deg_fidelity,deg_dist_norm,clust_err,spec_err,comm_nmi_gt
email-Eu-core,0,1.0,1.0,16064,14849,0.8443155,0.874614,0.870328,0.861356,0.8889339999999999,0.8507279999999999,0.8889339999999999,0.874614,0.8889339999999999,0.8647662917856014,0.9206299800796813,0.07937001992031864,0.282591668222306,0.18457932554935705,0.14111819083828908
email-Eu-core,0,1.0,0.75,16064,15368,0.8113889999999999,0.8838279999999998,0.890452,0.8617119999999999,0.8901935,0.836608,0.890452,0.8838279999999998,0.890452,0.7783707348932368,0.7619521912350598,0.23804780876494017,0.3175263728562406,0.3367846362275833,0.0713299549396968
email-Eu-core,0,1.0,0.5,16064,15687,0.7458094999999999,0.8638800000000001,0.8759199999999999,0.8655119999999998,0.8904809999999999,0.8503000000000001,0.8904809999999999,0.8655119999999998,0.8904809999999999,0.6910895456802971,0.5777514940239044,0.42224850597609553,0.34810657738123446,0.4653279722902006,0.06906012194644436
email-Eu-core,0,1.0,0.25,16064,15814,0.6655115,0.8662960000000001,0.8838220000000001,0.8542799999999999,0.8814665,0.82604,0.8838220000000001,0.8662960000000001,0.8838220000000001,0.6004464166082117,0.38888197211155373,0.611118027888446,0.3644963159368128,0.5529181962001988,0.07099083867169721
email-Eu-core,0,1.0,0.1,16064,15870,0.5714640000000001,0.8459199999999999,0.89003,0.8333,0.8758524999999999,0.7876480000000001,0.89003,0.8459199999999999,0.89003,0.5412541272497698,0.27191235059760954,0.7280876494023902,0.36890884873307533,0.5801944591743787,0.0941169401062015
email-Eu-core,0,1.0,0.0,16064,15819,0.478447,0.505512,0.8804799999999999,0.49837600000000004,0.7176295000000001,0.514308,0.8804799999999999,0.514308,0.8804799999999999,0.5,0.20461902390438247,0.7953809760956173,0.3693420552876127,0.5870040623859497,0.056163186373954246
email-Eu-core,1,1.0,1.0,16064,14929,0.8420890000000001,0.862314,0.87794,0.870908,0.881951,0.838744,0.881951,0.870908,0.881951,0.8628280568010347,0.922808764940239,0.07719123505976089,0.2830754985864559,0.1769432779048437,0.13376807709553404
email-Eu-core,1,1.0,0.75,16064,15400,0.8003399999999999,0.875552,0.86758,0.830932,0.8836595,0.818564,0.8836595,0.875552,0.8836595,0.7779829941781716,0.7658740039840637,0.23412599601593617,0.3126552807007315,0.3338553186955166,0.07103208909145649
email-Eu-core,1,1.0,0.5,16064,15716,0.7548335,0.845444,0.875104,0.852564,0.8766815000000001,0.8171639999999999,0.8766815000000001,0.852564,0.8766815000000001,0.6916300627817833,0.5793077689243028,0.4206922310756972,0.34939172357928866,0.46525057252807756,0.07307746231194713
email-Eu-core,1,1.0,0.25,16064,15801,0.6488205,0.8577879999999999,0.871184,0.8217840000000001,0.8775470000000001,0.8118879999999999,0.8775470000000001,0.8577879999999999,0.8775470000000001,0.6005482955248433,0.3901892430278885,0.6098107569721114,0.365075843031756,0.5538203894481669,0.07654705725434964
